0.00.031.121 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.031.286 I srv          init: The UI is disabled
0.00.031.288 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.031.367 W srv  llama_server: -----------------
0.00.031.367 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.031.368 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.031.368 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.031.368 W srv  llama_server: -----------------
0.00.032.758 I srv    load_model: loading model '$HOME/models/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q8_0.gguf'
0.00.897.313 W model has unused tensor blk.24.attn_norm.weight (size = 4096 bytes) -- ignoring
0.00.897.323 W model has unused tensor blk.24.post_attention_norm.weight (size = 4096 bytes) -- ignoring
0.00.897.334 W model has unused tensor blk.24.attn_q.weight (size = 4456448 bytes) -- ignoring
0.00.897.338 W model has unused tensor blk.24.attn_k.weight (size = 557056 bytes) -- ignoring
0.00.897.343 W model has unused tensor blk.24.attn_v.weight (size = 557056 bytes) -- ignoring
0.00.897.355 W model has unused tensor blk.24.attn_output.weight (size = 2228224 bytes) -- ignoring
0.00.897.359 W model has unused tensor blk.24.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.897.363 W model has unused tensor blk.24.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.897.368 W model has unused tensor blk.24.ffn_gate.weight (size = 3899392 bytes) -- ignoring
0.00.897.372 W model has unused tensor blk.24.ffn_down.weight (size = 3899392 bytes) -- ignoring
0.00.897.376 W model has unused tensor blk.24.ffn_up.weight (size = 3899392 bytes) -- ignoring
0.00.897.383 W model has unused tensor blk.24.nextn.eh_proj.weight (size = 2228224 bytes) -- ignoring
0.00.897.389 W model has unused tensor blk.24.nextn.enorm.weight (size = 4096 bytes) -- ignoring
0.00.897.394 W model has unused tensor blk.24.nextn.hnorm.weight (size = 4096 bytes) -- ignoring
0.00.897.405 W model has unused tensor blk.24.nextn.shared_head_norm.weight (size = 4096 bytes) -- ignoring
0.01.215.867 I cmn          init: llama threadpool init, n_threads = 6
0.01.286.625 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 4096, kv_unified = 'false'
0.01.286.831 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.01.293.625 I srv  llama_server: model loaded
0.01.293.637 I srv  llama_server: listening on http://127.0.0.1:18120
0.01.517.599 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.113.641 I slot print_timing: id  0 | task 99 |        eval time =     131.80 ms /    32 tokens (    4.25 ms per token,   235.20 tokens per second)
0.02.113.642 I slot print_timing: id  0 | task 99 |       total time =     141.18 ms /    52 tokens
0.02.113.645 I slot print_timing: id  0 | task 99 |    graphs reused =        120
0.02.113.684 I slot      release: id  0 | task 99 | stop processing: n_tokens = 51, truncated = 0
0.02.117.121 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 145822090884
0.02.117.152 I slot launch_slot_: id  0 | task 132 | processing task, is_child = 0
0.02.288.163 I slot print_timing: id  0 | task 132 | prompt eval time =      32.33 ms /   529 tokens (    0.06 ms per token, 16361.50 tokens per second)
0.02.288.172 I slot print_timing: id  0 | task 132 |        eval time =     138.66 ms /    32 tokens (    4.47 ms per token,   223.57 tokens per second)
0.02.288.173 I slot print_timing: id  0 | task 132 |       total time =     170.99 ms /   561 tokens
0.02.288.176 I slot print_timing: id  0 | task 132 |    graphs reused =        150
0.02.288.228 I slot      release: id  0 | task 132 | stop processing: n_tokens = 560, truncated = 0
0.02.291.649 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.946
0.02.291.675 I slot launch_slot_: id  0 | task 165 | processing task, is_child = 0
0.02.459.118 I slot print_timing: id  0 | task 165 | prompt eval time =      30.00 ms /   530 tokens (    0.06 ms per token, 17668.43 tokens per second)
0.02.459.125 I slot print_timing: id  0 | task 165 |        eval time =     137.43 ms /    32 tokens (    4.43 ms per token,   225.56 tokens per second)
0.02.459.126 I slot print_timing: id  0 | task 165 |       total time =     167.43 ms /   562 tokens
0.02.459.128 I slot print_timing: id  0 | task 165 |    graphs reused =        180
0.02.459.168 I slot      release: id  0 | task 165 | stop processing: n_tokens = 561, truncated = 0
0.02.463.140 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.947
0.02.463.183 I slot launch_slot_: id  0 | task 198 | processing task, is_child = 0
0.02.631.025 I slot print_timing: id  0 | task 198 | prompt eval time =      32.07 ms /   531 tokens (    0.06 ms per token, 16557.53 tokens per second)
0.02.631.032 I slot print_timing: id  0 | task 198 |        eval time =     135.75 ms /    32 tokens (    4.38 ms per token,   228.36 tokens per second)
0.02.631.033 I slot print_timing: id  0 | task 198 |       total time =     167.82 ms /   563 tokens
0.02.631.035 I slot print_timing: id  0 | task 198 |    graphs reused =        210
0.02.631.086 I slot      release: id  0 | task 198 | stop processing: n_tokens = 562, truncated = 0
0.02.634.998 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.947
0.02.635.057 I slot launch_slot_: id  0 | task 231 | processing task, is_child = 0
0.02.794.124 I slot print_timing: id  0 | task 231 | prompt eval time =      30.13 ms /   532 tokens (    0.06 ms per token, 17656.82 tokens per second)
0.02.794.133 I slot print_timing: id  0 | task 231 |        eval time =     128.91 ms /    32 tokens (    4.16 ms per token,   240.47 tokens per second)
0.02.794.134 I slot print_timing: id  0 | task 231 |       total time =     159.04 ms /   564 tokens
0.02.794.136 I slot print_timing: id  0 | task 231 |    graphs reused =        240
0.02.794.195 I slot      release: id  0 | task 231 | stop processing: n_tokens = 563, truncated = 0
0.02.799.515 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.541 (> 0.100 thold), f_keep = 1.000
0.02.799.557 I slot launch_slot_: id  0 | task 264 | processing task, is_child = 0
0.02.982.847 I slot print_timing: id  0 | task 264 | prompt eval time =      52.64 ms /  1041 tokens (    0.05 ms per token, 19775.08 tokens per second)
0.02.982.854 I slot print_timing: id  0 | task 264 |        eval time =     130.63 ms /    32 tokens (    4.21 ms per token,   237.31 tokens per second)
0.02.982.855 I slot print_timing: id  0 | task 264 |       total time =     183.27 ms /  1073 tokens
0.02.982.856 I slot print_timing: id  0 | task 264 |    graphs reused =        270
0.02.982.916 I slot      release: id  0 | task 264 | stop processing: n_tokens = 1072, truncated = 0
0.02.988.877 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.972
0.02.988.902 I slot launch_slot_: id  0 | task 297 | processing task, is_child = 0
0.03.172.986 I slot print_timing: id  0 | task 297 | prompt eval time =      51.77 ms /  1042 tokens (    0.05 ms per token, 20128.65 tokens per second)
0.03.172.994 I slot print_timing: id  0 | task 297 |        eval time =     132.30 ms /    32 tokens (    4.27 ms per token,   234.31 tokens per second)
0.03.172.995 I slot print_timing: id  0 | task 297 |       total time =     184.07 ms /  1074 tokens
0.03.172.997 I slot print_timing: id  0 | task 297 |    graphs reused =        300
0.03.173.064 I slot      release: id  0 | task 297 | stop processing: n_tokens = 1073, truncated = 0
0.03.178.818 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.972
0.03.178.852 I slot launch_slot_: id  0 | task 330 | processing task, is_child = 0
0.03.355.170 I slot print_timing: id  0 | task 330 | prompt eval time =      55.22 ms /  1043 tokens (    0.05 ms per token, 18888.77 tokens per second)
0.03.355.179 I slot print_timing: id  0 | task 330 |        eval time =     121.07 ms /    32 tokens (    3.91 ms per token,   256.06 tokens per second)
0.03.355.180 I slot print_timing: id  0 | task 330 |       total time =     176.28 ms /  1075 tokens
0.03.355.182 I slot print_timing: id  0 | task 330 |    graphs reused =        330
0.03.355.241 I slot      release: id  0 | task 330 | stop processing: n_tokens = 1074, truncated = 0
0.03.359.677 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.972
0.03.359.705 I slot launch_slot_: id  0 | task 363 | processing task, is_child = 0
0.03.539.721 I slot print_timing: id  0 | task 363 | prompt eval time =      55.33 ms /  1044 tokens (    0.05 ms per token, 18867.92 tokens per second)
0.03.539.732 I slot print_timing: id  0 | task 363 |        eval time =     124.65 ms /    32 tokens (    4.02 ms per token,   248.70 tokens per second)
0.03.539.733 I slot print_timing: id  0 | task 363 |       total time =     179.98 ms /  1076 tokens
0.03.539.736 I slot print_timing: id  0 | task 363 |    graphs reused =        360
0.03.539.809 I slot      release: id  0 | task 363 | stop processing: n_tokens = 1075, truncated = 0
0.03.546.598 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.521 (> 0.100 thold), f_keep = 1.000
0.03.546.646 I slot launch_slot_: id  0 | task 396 | processing task, is_child = 0
0.03.773.357 I slot print_timing: id  0 | task 396 | prompt eval time =      92.88 ms /  2065 tokens (    0.04 ms per token, 22232.27 tokens per second)
0.03.773.364 I slot print_timing: id  0 | task 396 |        eval time =     133.80 ms /    32 tokens (    4.32 ms per token,   231.69 tokens per second)
0.03.773.365 I slot print_timing: id  0 | task 396 |       total time =     226.68 ms /  2097 tokens
0.03.773.366 I slot print_timing: id  0 | task 396 |    graphs reused =        390
0.03.773.451 I slot      release: id  0 | task 396 | stop processing: n_tokens = 2096, truncated = 0
0.03.783.399 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.986
0.03.783.428 I slot launch_slot_: id  0 | task 430 | processing task, is_child = 0
0.04.015.198 I slot print_timing: id  0 | task 430 | prompt eval time =      99.36 ms /  2066 tokens (    0.05 ms per token, 20792.87 tokens per second)
0.04.015.205 I slot print_timing: id  0 | task 430 |        eval time =     132.39 ms /    32 tokens (    4.27 ms per token,   234.16 tokens per second)
0.04.015.206 I slot print_timing: id  0 | task 430 |       total time =     231.75 ms /  2098 tokens
0.04.015.207 I slot print_timing: id  0 | task 430 |    graphs reused =        420
0.04.015.295 I slot      release: id  0 | task 430 | stop processing: n_tokens = 2097, truncated = 0
0.04.025.829 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.986
0.04.025.886 I slot launch_slot_: id  0 | task 464 | processing task, is_child = 0
0.04.249.777 I slot print_timing: id  0 | task 464 | prompt eval time =      93.06 ms /  2067 tokens (    0.05 ms per token, 22212.67 tokens per second)
0.04.249.784 I slot print_timing: id  0 | task 464 |        eval time =     130.81 ms /    32 tokens (    4.22 ms per token,   236.98 tokens per second)
0.04.249.785 I slot print_timing: id  0 | task 464 |       total time =     223.87 ms /  2099 tokens
0.04.249.787 I slot print_timing: id  0 | task 464 |    graphs reused =        450
0.04.249.895 I slot      release: id  0 | task 464 | stop processing: n_tokens = 2098, truncated = 0
0.04.257.833 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.986
0.04.257.862 I slot launch_slot_: id  0 | task 498 | processing task, is_child = 0
0.04.490.092 I slot print_timing: id  0 | task 498 | prompt eval time =     102.73 ms /  2068 tokens (    0.05 ms per token, 20131.03 tokens per second)
0.04.490.101 I slot print_timing: id  0 | task 498 |        eval time =     129.48 ms /    32 tokens (    4.18 ms per token,   239.43 tokens per second)
0.04.490.102 I slot print_timing: id  0 | task 498 |       total time =     232.20 ms /  2100 tokens
0.04.490.103 I slot print_timing: id  0 | task 498 |    graphs reused =        480
0.04.490.185 I slot      release: id  0 | task 498 | stop processing: n_tokens = 2099, truncated = 0
0.04.491.979 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.008
0.04.492.018 I slot launch_slot_: id  0 | task 532 | processing task, is_child = 0
0.04.648.240 I slot print_timing: id  0 | task 532 | prompt eval time =      12.01 ms /    17 tokens (    0.71 ms per token,  1415.72 tokens per second)
0.04.648.248 I slot print_timing: id  0 | task 532 |        eval time =     144.19 ms /    32 tokens (    4.65 ms per token,   214.99 tokens per second)
0.04.648.249 I slot print_timing: id  0 | task 532 |       total time =     156.20 ms /    49 tokens
0.04.648.251 I slot print_timing: id  0 | task 532 |    graphs reused =        510
0.04.648.288 I slot      release: id  0 | task 532 | stop processing: n_tokens = 48, truncated = 0
0.04.651.818 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.944 (> 0.100 thold), f_keep = 0.354
0.04.651.858 I slot launch_slot_: id  0 | task 565 | processing task, is_child = 0
0.04.804.214 I slot print_timing: id  0 | task 565 | prompt eval time =      12.75 ms /    18 tokens (    0.71 ms per token,  1411.32 tokens per second)
0.04.804.223 I slot print_timing: id  0 | task 565 |        eval time =     139.58 ms /    32 tokens (    4.50 ms per token,   222.10 tokens per second)
0.04.804.224 I slot print_timing: id  0 | task 565 |       total time =     152.33 ms /    50 tokens
0.04.804.227 I slot print_timing: id  0 | task 565 |    graphs reused =        540
0.04.804.249 I slot      release: id  0 | task 565 | stop processing: n_tokens = 49, truncated = 0
0.04.808.506 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.388
0.04.808.535 I slot launch_slot_: id  0 | task 598 | processing task, is_child = 0
0.04.964.045 I slot print_timing: id  0 | task 598 | prompt eval time =       9.87 ms /    19 tokens (    0.52 ms per token,  1925.81 tokens per second)
0.04.964.051 I slot print_timing: id  0 | task 598 |        eval time =     145.63 ms /    32 tokens (    4.70 ms per token,   212.87 tokens per second)
0.04.964.052 I slot print_timing: id  0 | task 598 |       total time =     155.50 ms /    51 tokens
0.04.964.053 I slot print_timing: id  0 | task 598 |    graphs reused =        570
0.04.964.066 I slot      release: id  0 | task 598 | stop processing: n_tokens = 50, truncated = 0
0.04.967.309 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.950 (> 0.100 thold), f_keep = 0.380
0.04.967.340 I slot launch_slot_: id  0 | task 631 | processing task, is_child = 0
0.05.116.435 I slot print_timing: id  0 | task 631 | prompt eval time =       9.08 ms /    20 tokens (    0.45 ms per token,  2203.13 tokens per second)
0.05.116.442 I slot print_timing: id  0 | task 631 |        eval time =     140.00 ms /    32 tokens (    4.52 ms per token,   221.43 tokens per second)
0.05.116.443 I slot print_timing: id  0 | task 631 |       total time =     149.08 ms /    52 tokens
0.05.116.445 I slot print_timing: id  0 | task 631 |    graphs reused =        600
0.05.116.460 I slot      release: id  0 | task 631 | stop processing: n_tokens = 51, truncated = 0
0.05.119.824 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 145825093660
0.05.119.854 I slot launch_slot_: id  0 | task 664 | processing task, is_child = 0
0.05.290.042 I slot print_timing: id  0 | task 664 | prompt eval time =      37.74 ms /   529 tokens (    0.07 ms per token, 14018.07 tokens per second)
0.05.290.048 I slot print_timing: id  0 | task 664 |        eval time =     132.43 ms /    32 tokens (    4.27 ms per token,   234.08 tokens per second)
0.05.290.048 I slot print_timing: id  0 | task 664 |       total time =     170.17 ms /   561 tokens
0.05.290.049 I slot print_timing: id  0 | task 664 |    graphs reused =        630
0.05.290.077 I slot      release: id  0 | task 664 | stop processing: n_tokens = 560, truncated = 0
0.05.293.855 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.946
0.05.293.884 I slot launch_slot_: id  0 | task 697 | processing task, is_child = 0
0.05.469.264 I slot print_timing: id  0 | task 697 | prompt eval time =      36.47 ms /   530 tokens (    0.07 ms per token, 14532.49 tokens per second)
0.05.469.272 I slot print_timing: id  0 | task 697 |        eval time =     138.89 ms /    32 tokens (    4.48 ms per token,   223.20 tokens per second)
0.05.469.272 I slot print_timing: id  0 | task 697 |       total time =     175.36 ms /   562 tokens
0.05.469.274 I slot print_timing: id  0 | task 697 |    graphs reused =        660
0.05.469.323 I slot      release: id  0 | task 697 | stop processing: n_tokens = 561, truncated = 0
0.05.472.825 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.947
0.05.472.853 I slot launch_slot_: id  0 | task 730 | processing task, is_child = 0
0.05.646.310 I slot print_timing: id  0 | task 730 | prompt eval time =      34.26 ms /   531 tokens (    0.06 ms per token, 15500.48 tokens per second)
0.05.646.321 I slot print_timing: id  0 | task 730 |        eval time =     139.18 ms /    32 tokens (    4.49 ms per token,   222.74 tokens per second)
0.05.646.323 I slot print_timing: id  0 | task 730 |       total time =     173.43 ms /   563 tokens
0.05.646.326 I slot print_timing: id  0 | task 730 |    graphs reused =        690
0.05.646.388 I slot      release: id  0 | task 730 | stop processing: n_tokens = 562, truncated = 0
0.05.651.823 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.947
0.05.651.847 I slot launch_slot_: id  0 | task 763 | processing task, is_child = 0
0.05.822.569 I slot print_timing: id  0 | task 763 | prompt eval time =      34.88 ms /   532 tokens (    0.07 ms per token, 15252.73 tokens per second)
0.05.822.580 I slot print_timing: id  0 | task 763 |        eval time =     135.81 ms /    32 tokens (    4.38 ms per token,   228.26 tokens per second)
0.05.822.581 I slot print_timing: id  0 | task 763 |       total time =     170.69 ms /   564 tokens
0.05.822.584 I slot print_timing: id  0 | task 763 |    graphs reused =        720
0.05.822.628 I slot      release: id  0 | task 763 | stop processing: n_tokens = 563, truncated = 0
0.05.828.830 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.541 (> 0.100 thold), f_keep = 1.000
0.05.828.865 I slot launch_slot_: id  0 | task 796 | processing task, is_child = 0
0.06.016.439 I slot print_timing: id  0 | task 796 | prompt eval time =      53.82 ms /  1041 tokens (    0.05 ms per token, 19343.33 tokens per second)
0.06.016.446 I slot print_timing: id  0 | task 796 |        eval time =     133.74 ms /    32 tokens (    4.31 ms per token,   231.80 tokens per second)
0.06.016.447 I slot print_timing: id  0 | task 796 |       total time =     187.55 ms /  1073 tokens
0.06.016.448 I slot print_timing: id  0 | task 796 |    graphs reused =        750
0.06.016.500 I slot      release: id  0 | task 796 | stop processing: n_tokens = 1072, truncated = 0
0.06.022.387 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.972
0.06.022.424 I slot launch_slot_: id  0 | task 829 | processing task, is_child = 0
0.06.200.690 I slot print_timing: id  0 | task 829 | prompt eval time =      51.93 ms /  1042 tokens (    0.05 ms per token, 20065.09 tokens per second)
0.06.200.697 I slot print_timing: id  0 | task 829 |        eval time =     126.32 ms /    32 tokens (    4.07 ms per token,   245.41 tokens per second)
0.06.200.698 I slot print_timing: id  0 | task 829 |       total time =     178.25 ms /  1074 tokens
0.06.200.699 I slot print_timing: id  0 | task 829 |    graphs reused =        780
0.06.200.755 I slot      release: id  0 | task 829 | stop processing: n_tokens = 1073, truncated = 0
0.06.205.120 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.972
0.06.205.164 I slot launch_slot_: id  0 | task 862 | processing task, is_child = 0
0.06.383.543 I slot print_timing: id  0 | task 862 | prompt eval time =      55.38 ms /  1043 tokens (    0.05 ms per token, 18832.49 tokens per second)
0.06.383.552 I slot print_timing: id  0 | task 862 |        eval time =     122.98 ms /    32 tokens (    3.97 ms per token,   252.08 tokens per second)
0.06.383.553 I slot print_timing: id  0 | task 862 |       total time =     178.36 ms /  1075 tokens
0.06.383.556 I slot print_timing: id  0 | task 862 |    graphs reused =        810
0.06.383.618 I slot      release: id  0 | task 862 | stop processing: n_tokens = 1074, truncated = 0
0.06.388.495 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.972
0.06.388.524 I slot launch_slot_: id  0 | task 895 | processing task, is_child = 0
0.06.569.670 I slot print_timing: id  0 | task 895 | prompt eval time =      55.44 ms /  1044 tokens (    0.05 ms per token, 18832.53 tokens per second)
0.06.569.677 I slot print_timing: id  0 | task 895 |        eval time =     125.69 ms /    32 tokens (    4.05 ms per token,   246.63 tokens per second)
0.06.569.677 I slot print_timing: id  0 | task 895 |       total time =     181.13 ms /  1076 tokens
0.06.569.678 I slot print_timing: id  0 | task 895 |    graphs reused =        840
0.06.569.722 I slot      release: id  0 | task 895 | stop processing: n_tokens = 1075, truncated = 0
0.06.577.324 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.521 (> 0.100 thold), f_keep = 1.000
0.06.577.354 I slot launch_slot_: id  0 | task 928 | processing task, is_child = 0
0.06.805.780 I slot print_timing: id  0 | task 928 | prompt eval time =      93.33 ms /  2065 tokens (    0.05 ms per token, 22126.26 tokens per second)
0.06.805.788 I slot print_timing: id  0 | task 928 |        eval time =     135.07 ms /    32 tokens (    4.36 ms per token,   229.50 tokens per second)
0.06.805.789 I slot print_timing: id  0 | task 928 |       total time =     228.40 ms /  2097 tokens
0.06.805.792 I slot print_timing: id  0 | task 928 |    graphs reused =        870
0.06.806.911 I slot      release: id  0 | task 928 | stop processing: n_tokens = 2096, truncated = 0
0.06.816.820 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.986
0.06.816.850 I slot launch_slot_: id  0 | task 962 | processing task, is_child = 0
0.07.050.233 I slot print_timing: id  0 | task 962 | prompt eval time =      96.78 ms /  2066 tokens (    0.05 ms per token, 21346.94 tokens per second)
0.07.050.241 I slot print_timing: id  0 | task 962 |        eval time =     136.58 ms /    32 tokens (    4.41 ms per token,   226.97 tokens per second)
0.07.050.242 I slot print_timing: id  0 | task 962 |       total time =     233.37 ms /  2098 tokens
0.07.050.243 I slot print_timing: id  0 | task 962 |    graphs reused =        900
0.07.050.329 I slot      release: id  0 | task 962 | stop processing: n_tokens = 2097, truncated = 0
0.07.057.896 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.986
0.07.057.960 I slot launch_slot_: id  0 | task 996 | processing task, is_child = 0
0.07.281.231 I slot print_timing: id  0 | task 996 | prompt eval time =      94.73 ms /  2067 tokens (    0.05 ms per token, 21819.68 tokens per second)
