model_id	qwen38-2b-distill
arm:full-close:kv_physical_allocated_max_bytes
arm:full-close:kv_physical_allocated_final_bytes
arm:full-close:kv_physical_released_final_bytes
arm:full-close:memory_saved_bytes	0
arm:full-close:commit_latency_us_median
arm:full-close:commit_latency_us_p95
arm:full-close:commit_latency_us_max
arm:full-close:reclaim_latency_us_median
arm:full-close:reclaim_latency_us_p95
arm:full-close:reclaim_latency_us_max
clients_close	1942, /usr/bin/kwin_wayland;3551735, /opt/microsoft/msedge/msedge --type=gpu-process --enable-gpu-rasterization --enable-webgl-draft-extensions --ozone-platform=wayland --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=3551626 --enable-crash-reporter=? --disable-breakpad --change-stack-guard-on-fork=enable --gpu-preferences=YAAAAAAAAAAgAQAMAAAAAAAAAAAAAGAASAAAAAAAAAABAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAMAAAAAAAAAAwAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAMAAAAAQAAAAAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --metrics-shmem-handle=4?i?10281378972512202149?4132987836958273433?262144 --field-trial-handle=3?i?9915705056276894669?14106460434181892088?262144 --enable-features=WebContentsForceDark?msCopilotMode2?msOmniboxComposerReformulationUx?msOmniboxCopilotChatCommercial --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7?i?15144530302869290792?8770019790890903922?4 --trace-process-track-uuid=3190708988185955192;
identity:full:tails	yes
identity:full:full-close	yes
refusals	0
verdict	lifecycle_holds
