model_id	lfm25-vl-450m
clients_open	cuda_client pid=1942 name=/usr/bin/kwin_wayland used=298 MiB exe=unreadable start_time=4765 cgroup=0::/user.slice/user-1000.slice/session-2.scope verdict=record-desktop;cuda_client pid=3551735 name=/opt/microsoft/msedge/msedge --type=gpu-process --enable-gpu-rasterization --enable-webgl-draft-extensions --ozone-platform=wayland --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=3551626 --enable-crash-reporter=? --disable-breakpad --change-stack-guard-on-fork=enable --gpu-preferences=YAAAAAAAAAAgAQAMAAAAAAAAAAAAAGAASAAAAAAAAAABAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAMAAAAAAAAAAwAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAMAAAAAQAAAAAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --metrics-shmem-handle=4?i?10281378972512202149?4132987836958273433?262144 --field-trial-handle=3?i?9915705056276894669?14106460434181892088?262144 --enable-features=WebContentsForceDark?msCopilotMode2?msOmniboxComposerReformulationUx?msOmniboxCopilotChatCommercial --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7?i?15144530302869290792?8770019790890903922?4 --trace-process-track-uuid=3190708988185955192 used=312 MiB exe=/opt/microsoft/msedge/msedge start_time=33296844 cgroup=0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-microsoft\x2dedge@cc06c4e777364a53a8ef593ef8967541.service verdict=record-desktop;cuda_client pid=3782701 name=$HOME/.config/discord/app-1.0.156/Discord --type=gpu-process --ozone-platform=wayland --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=3782649 --enable-crash-reporter=a162e38a-1ab1-40ba-a2fe-40833a7ec262?no_channel --user-data-dir=$HOME/.config/discord --gpu-preferences=UAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAYAAAAAAAAABgAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --field-trial-handle=3?i?13524852915378271242?17179113286248559482?262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports --disable-features=AllowAggressiveThrottlingWithWebSocket?DropInputEventsWhilePaintHolding?HardwareMediaKeyHandling?IntensiveWakeUpThrottling?LocalNetworkAccessChecks?MediaSessionService?ScreenAIOCREnabled?SpareRendererForSitePerProcess?TraceSiteInstanceGetProcessCreation?UseEcoQoSForBackgroundProcess?WaylandWpColorManagerV1?WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --pseudonymization-salt-handle=7?i?6750189166589996907?11369743752801999093?4 --trace-process-track-uuid=3190708988185955192 used=278 MiB exe=$HOME/.config/discord/app-1.0.156/Discord start_time=46631083 cgroup=0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-discord-3782135.scope verdict=record-desktop;named_llama_server_pids=-;
identity:registry:host:embd_device	off
identity:registry:host:01-single	completed prompt_n=116 prompt_ms=140.207
identity:registry:host:02-pair-adjacent	completed prompt_n=180 prompt_ms=29.886
identity:registry:host:03-pair-text	completed prompt_n=200 prompt_ms=23.759
identity:registry:host:04-large	completed prompt_n=1805 prompt_ms=122.705
identity:registry:host:05-large-pair-text	completed prompt_n=3595 prompt_ms=227.567
identity:registry:host:06-single	completed prompt_n=116 prompt_ms=12.819
identity:registry:host:07-pair-adjacent	completed prompt_n=180 prompt_ms=21.489
identity:registry:host:08-pair-text	completed prompt_n=200 prompt_ms=20.718
identity:registry:host:09-large	completed prompt_n=1805 prompt_ms=115.892
identity:registry:host:10-large-pair-text	completed prompt_n=3595 prompt_ms=231.341
identity:registry:host:trace	holds device_data_reuses=0 entries=52 multi_entry_batches=0 multi_view_entries=0 nonzero_chunk_offset_slices=0 slices=52 split_entries=0 
identity:registry:device:embd_device	on
identity:registry:device:01-single	completed prompt_n=116 prompt_ms=72.038
identity:registry:device:02-pair-adjacent	completed prompt_n=180 prompt_ms=40.865
identity:registry:device:03-pair-text	completed prompt_n=200 prompt_ms=36.233
identity:registry:device:04-large	completed prompt_n=1805 prompt_ms=153.606
identity:registry:device:05-large-pair-text	completed prompt_n=3595 prompt_ms=249.915
identity:registry:device:06-single	completed prompt_n=116 prompt_ms=12.787
identity:registry:device:07-pair-adjacent	completed prompt_n=180 prompt_ms=21.888
identity:registry:device:08-pair-text	completed prompt_n=200 prompt_ms=21.803
identity:registry:device:09-large	completed prompt_n=1805 prompt_ms=121.627
identity:registry:device:10-large-pair-text	completed prompt_n=3595 prompt_ms=235.837
identity:registry:device:trace	holds device_data_reuses=50 entries=52 multi_entry_batches=0 multi_view_entries=0 nonzero_chunk_offset_slices=0 slices=52 split_entries=0 
identity:registry:host-close:embd_device	off
identity:registry:host-close:01-single	completed prompt_n=116 prompt_ms=70.108
identity:registry:host-close:02-pair-adjacent	completed prompt_n=180 prompt_ms=38.487
identity:registry:host-close:03-pair-text	completed prompt_n=200 prompt_ms=36.228
identity:registry:host-close:04-large	completed prompt_n=1805 prompt_ms=174.211
identity:registry:host-close:05-large-pair-text	completed prompt_n=3595 prompt_ms=227.774
identity:registry:host-close:06-single	completed prompt_n=116 prompt_ms=12.816
identity:registry:host-close:07-pair-adjacent	completed prompt_n=180 prompt_ms=21.206
identity:registry:host-close:08-pair-text	completed prompt_n=200 prompt_ms=20.794
identity:registry:host-close:09-large	completed prompt_n=1805 prompt_ms=120.65
identity:registry:host-close:10-large-pair-text	completed prompt_n=3595 prompt_ms=229.777
identity:registry:host-close:trace	holds device_data_reuses=0 entries=52 multi_entry_batches=0 multi_view_entries=0 nonzero_chunk_offset_slices=0 slices=52 split_entries=0 
identity:split:host:embd_device	off
identity:split:host:01-single	completed prompt_n=116 prompt_ms=109.393
identity:split:host:02-pair-adjacent	completed prompt_n=180 prompt_ms=52.878
identity:split:host:03-pair-text	completed prompt_n=200 prompt_ms=47.77
identity:split:host:04-large	completed prompt_n=1805 prompt_ms=204.895
identity:split:host:05-large-pair-text	completed prompt_n=3595 prompt_ms=419.895
identity:split:host:06-single	completed prompt_n=116 prompt_ms=23.771
identity:split:host:07-pair-adjacent	completed prompt_n=180 prompt_ms=63.38
identity:split:host:08-pair-text	completed prompt_n=200 prompt_ms=42.265
identity:split:host:09-large	completed prompt_n=1805 prompt_ms=276.677
identity:split:host:10-large-pair-text	completed prompt_n=3595 prompt_ms=474.305
identity:split:host:trace	holds device_data_reuses=0 entries=52 multi_entry_batches=0 multi_view_entries=52 nonzero_chunk_offset_slices=314 slices=366 split_entries=52 
identity:split:device:embd_device	on
identity:split:device:01-single	completed prompt_n=116 prompt_ms=92.684
identity:split:device:02-pair-adjacent	completed prompt_n=180 prompt_ms=49.005
identity:split:device:03-pair-text	completed prompt_n=200 prompt_ms=42.439
identity:split:device:04-large	completed prompt_n=1805 prompt_ms=237.524
identity:split:device:05-large-pair-text	completed prompt_n=3595 prompt_ms=390.402
identity:split:device:06-single	completed prompt_n=116 prompt_ms=16.421
identity:split:device:07-pair-adjacent	completed prompt_n=180 prompt_ms=30.576
identity:split:device:08-pair-text	completed prompt_n=200 prompt_ms=28.738
identity:split:device:09-large	completed prompt_n=1805 prompt_ms=208.132
identity:split:device:10-large-pair-text	completed prompt_n=3595 prompt_ms=521.647
identity:split:device:trace	holds device_data_reuses=50 entries=52 multi_entry_batches=0 multi_view_entries=52 nonzero_chunk_offset_slices=314 slices=366 split_entries=52 
identity:split:host-close:embd_device	off
identity:split:host-close:01-single	completed prompt_n=116 prompt_ms=109.26
identity:split:host-close:02-pair-adjacent	completed prompt_n=180 prompt_ms=62.349
identity:split:host-close:03-pair-text	completed prompt_n=200 prompt_ms=50.683
identity:split:host-close:04-large	completed prompt_n=1805 prompt_ms=272.551
identity:split:host-close:05-large-pair-text	completed prompt_n=3595 prompt_ms=441.872
identity:split:host-close:06-single	completed prompt_n=116 prompt_ms=26.152
identity:split:host-close:07-pair-adjacent	completed prompt_n=180 prompt_ms=40.882
identity:split:host-close:08-pair-text	completed prompt_n=200 prompt_ms=39.627
identity:split:host-close:09-large	completed prompt_n=1805 prompt_ms=224.789
identity:split:host-close:10-large-pair-text	completed prompt_n=3595 prompt_ms=434.082
identity:split:host-close:trace	holds device_data_reuses=0 entries=52 multi_entry_batches=0 multi_view_entries=52 nonzero_chunk_offset_slices=314 slices=366 split_entries=52 
lifetime:host:00-warm	completed prompt_n=116 prompt_ms=94.545
lifetime:host:cancel-1	{"shape": "large", "delay_s": 0.02, "elapsed_s": 0.0239, "bytes_received_before_close": 0}
lifetime:host:01-after-cancel-single	completed prompt_n=116 prompt_ms=13.476
lifetime:host:health-1	ok
lifetime:host:cancel-2	{"shape": "large", "delay_s": 0.1, "elapsed_s": 0.101, "bytes_received_before_close": 0}
lifetime:host:02-after-cancel-single	completed prompt_n=116 prompt_ms=14.453
lifetime:host:health-2	ok
lifetime:host:cancel-3	{"shape": "large", "delay_s": 0.6, "elapsed_s": 0.6014, "bytes_received_before_close": 0}
lifetime:host:03-after-cancel-single	completed prompt_n=116 prompt_ms=16.617
lifetime:host:health-3	ok
lifetime:host:04-large	completed prompt_n=1805 prompt_ms=116.099
lifetime:host:05-close	completed prompt_n=116 prompt_ms=12.889
lifetime:host:trace	holds device_data_reuses=0 entries=33 multi_entry_batches=0 multi_view_entries=0 nonzero_chunk_offset_slices=0 slices=33 split_entries=0 
lifetime:device:00-warm	completed prompt_n=116 prompt_ms=80.42
lifetime:device:cancel-1	{"shape": "large", "delay_s": 0.02, "elapsed_s": 0.0209, "bytes_received_before_close": 0}
lifetime:device:01-after-cancel-single	completed prompt_n=116 prompt_ms=13.082
lifetime:device:health-1	ok
lifetime:device:cancel-2	{"shape": "large", "delay_s": 0.1, "elapsed_s": 0.101, "bytes_received_before_close": 0}
lifetime:device:02-after-cancel-single	completed prompt_n=116 prompt_ms=15.242
lifetime:device:health-2	ok
lifetime:device:cancel-3	{"shape": "large", "delay_s": 0.6, "elapsed_s": 0.6014, "bytes_received_before_close": 0}
lifetime:device:03-after-cancel-single	completed prompt_n=116 prompt_ms=14.745
lifetime:device:health-3	ok
lifetime:device:04-large	completed prompt_n=1805 prompt_ms=134.895
lifetime:device:05-close	completed prompt_n=116 prompt_ms=15.991
lifetime:device:trace	holds device_data_reuses=31 entries=33 multi_entry_batches=0 multi_view_entries=0 nonzero_chunk_offset_slices=0 slices=33 split_entries=0 
transfer:host:01-single	completed prompt_n=116 prompt_ms=75.043
transfer:host:02-pair-adjacent	completed prompt_n=180 prompt_ms=30.979
transfer:host:03-pair-text	completed prompt_n=200 prompt_ms=32.184
transfer:host:04-large	completed prompt_n=1805 prompt_ms=121.14
transfer:host:05-large-pair-text	completed prompt_n=3595 prompt_ms=230.881
transfer:host:recorder	off
transfer:host:capture	dd88191d58bc60ba36add201119255ba0680824d4bcfb85d4d6fdd957e990107
transfer:device:01-single	completed prompt_n=116 prompt_ms=104.03
transfer:device:02-pair-adjacent	completed prompt_n=180 prompt_ms=36.49
transfer:device:03-pair-text	completed prompt_n=200 prompt_ms=25.275
transfer:device:04-large	completed prompt_n=1805 prompt_ms=106.678
transfer:device:05-large-pair-text	completed prompt_n=3595 prompt_ms=190.399
transfer:device:recorder	off
transfer:device:capture	dcb4778eb2f933191e0364d7e823e0c33322da5bf77a08e94dedf5958ad49240
clients_close	cuda_client pid=1942 name=/usr/bin/kwin_wayland used=298 MiB exe=unreadable start_time=4765 cgroup=0::/user.slice/user-1000.slice/session-2.scope verdict=record-desktop;cuda_client pid=3551735 name=/opt/microsoft/msedge/msedge --type=gpu-process --enable-gpu-rasterization --enable-webgl-draft-extensions --ozone-platform=wayland --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=3551626 --enable-crash-reporter=? --disable-breakpad --change-stack-guard-on-fork=enable --gpu-preferences=YAAAAAAAAAAgAQAMAAAAAAAAAAAAAGAASAAAAAAAAAABAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAMAAAAAAAAAAwAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAMAAAAAQAAAAAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --metrics-shmem-handle=4?i?10281378972512202149?4132987836958273433?262144 --field-trial-handle=3?i?9915705056276894669?14106460434181892088?262144 --enable-features=WebContentsForceDark?msCopilotMode2?msOmniboxComposerReformulationUx?msOmniboxCopilotChatCommercial --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7?i?15144530302869290792?8770019790890903922?4 --trace-process-track-uuid=3190708988185955192 used=312 MiB exe=/opt/microsoft/msedge/msedge start_time=33296844 cgroup=0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-microsoft\x2dedge@cc06c4e777364a53a8ef593ef8967541.service verdict=record-desktop;cuda_client pid=3782701 name=$HOME/.config/discord/app-1.0.156/Discord --type=gpu-process --ozone-platform=wayland --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=3782649 --enable-crash-reporter=a162e38a-1ab1-40ba-a2fe-40833a7ec262?no_channel --user-data-dir=$HOME/.config/discord --gpu-preferences=UAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAYAAAAAAAAABgAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --field-trial-handle=3?i?13524852915378271242?17179113286248559482?262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports --disable-features=AllowAggressiveThrottlingWithWebSocket?DropInputEventsWhilePaintHolding?HardwareMediaKeyHandling?IntensiveWakeUpThrottling?LocalNetworkAccessChecks?MediaSessionService?ScreenAIOCREnabled?SpareRendererForSitePerProcess?TraceSiteInstanceGetProcessCreation?UseEcoQoSForBackgroundProcess?WaylandWpColorManagerV1?WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --pseudonymization-salt-handle=7?i?6750189166589996907?11369743752801999093?4 --trace-process-track-uuid=3190708988185955192 used=278 MiB exe=$HOME/.config/discord/app-1.0.156/Discord start_time=46631083 cgroup=0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-discord-3782135.scope verdict=record-desktop;named_llama_server_pids=-;
comparison_refusals	0
verdict	admitted
