model	file	prompt_tokens	completion_tokens	finish	reasoning_chars	content_chars	context_boundary	wall_ms	tool_call	http_status	outcome
qwen35-2b-hauhau	sys/arch/rp2040/dev/flash_swap.c	1223	697	stop	2081	1008	no	2951	yes	200	stop
qwen35-2b-hauhau	bin/cat/cat.c	2051	2048	length	1906	6728	no	8738	yes	200	capped
qwen35-2b-hauhau	sys/arch/rp2040/dev/usb.c	8760	887	stop	1876	1744	no	4383	yes	200	stop
qwen35-2b-unredacted	sys/arch/rp2040/dev/flash_swap.c	1223	1384	stop	1982	4434	no	5894	yes	200	stop
qwen35-2b-unredacted	bin/cat/cat.c	2051	713	stop	1912	1029	no	3150	yes	200	stop
qwen35-2b-unredacted	sys/arch/rp2040/dev/usb.c	8760	789	stop	1850	1324	no	3975	yes	200	stop
qwen35-2b-heretic	sys/arch/rp2040/dev/flash_swap.c	1223	952	stop	1938	1866	no	4094	yes	200	stop
qwen35-2b-heretic	bin/cat/cat.c	2051	2048	length	1805	4851	no	8697	yes	200	capped
qwen35-2b-heretic	sys/arch/rp2040/dev/usb.c	8760	1106	stop	2005	2116	no	5373	yes	200	stop
qwen35-08b-unsloth-unc	sys/arch/rp2040/dev/flash_swap.c	1223	781	stop	0	2956	no	2085	yes	200	stop
qwen35-08b-unsloth-unc	bin/cat/cat.c	2051	2048	length	0	6202	no	5400	yes	200	capped
qwen35-08b-unsloth-unc	sys/arch/rp2040/dev/usb.c	8760	555	stop	2070	198	no	1892	yes	200	stop
qwenseer-2b	sys/arch/rp2040/dev/flash_swap.c	1223	791	stop	2395	1345	no	3386	yes	200	stop
qwenseer-2b	bin/cat/cat.c	2051	318	stop	725	724	no	1480	yes	200	stop
qwenseer-2b	sys/arch/rp2040/dev/usb.c	8760	648	stop	1901	577	no	3337	yes	200	stop
minicpm-v-46	sys/arch/rp2040/dev/flash_swap.c	1223	280	stop	841	591	no	841	no	200	stop
minicpm-v-46	bin/cat/cat.c	2051	287	stop	840	646	no	904	no	200	stop
minicpm-v-46	sys/arch/rp2040/dev/usb.c	8760	786	stop	2213	1237	no	2654	no	200	stop
minicpm5-1b	sys/arch/rp2040/dev/flash_swap.c	1273	665	stop	2184	725	no	1675	no	200	stop
minicpm5-1b	bin/cat/cat.c	1998	2048	length	1465	8073	no	5343	no	200	capped
minicpm5-1b	sys/arch/rp2040/dev/usb.c	9018	2048	length	1944	7399	no	6715	no	200	capped
minicpm5-1b-fable5-v2	sys/arch/rp2040/dev/flash_swap.c	1273	2048	length	2207	7288	no	6646	yes	200	capped
minicpm5-1b-fable5-v2	bin/cat/cat.c	1998	2048	length	1953	8250	no	6827	yes	200	capped
minicpm5-1b-fable5-v2	sys/arch/rp2040/dev/usb.c	9000	2048	length	1431	7300	no	8190	yes	200	capped
lfm25-12b-thinking	sys/arch/rp2040/dev/flash_swap.c	1350	452	stop	0	1980	no	1059	no	200	stop
lfm25-12b-thinking	bin/cat/cat.c	2052	684	stop	0	3233	no	1604	no	200	stop
lfm25-12b-thinking	sys/arch/rp2040/dev/usb.c	9354	600	stop	0	2478	no	1731	no	200	stop
lfm25-vl-450m	sys/arch/rp2040/dev/flash_swap.c	1350	257	stop	0	867	no	397	no	200	stop
lfm25-vl-450m	bin/cat/cat.c	2052	2048	length	0	6146	no	2425	no	200	capped
lfm25-vl-450m	sys/arch/rp2040/dev/usb.c	9354	2048	length	0	7271	no	2745	no	200	capped
lfm25-350m-qad	sys/arch/rp2040/dev/flash_swap.c	1350	203	stop	0	885	no	405	yes	200	stop
lfm25-350m-qad	bin/cat/cat.c	2052	190	stop	0	814	no	259	yes	200	stop
lfm25-350m-qad	sys/arch/rp2040/dev/usb.c	9354	786	stop	0	2791	no	1080	yes	200	stop
qwen25-coder-7b	sys/arch/rp2040/dev/flash_swap.c	1120	144	stop	0	740	no	1785	no	200	stop
qwen25-coder-7b	bin/cat/cat.c	1827	164	stop	0	843	no	2104	no	200	stop
qwen25-coder-7b	sys/arch/rp2040/dev/usb.c	8244	198	stop	0	900	no	3835	no	200	stop
oxcoder-9b	sys/arch/rp2040/dev/flash_swap.c	1223	2048	length	1989	6394	no	33484	no	200	capped
oxcoder-9b	bin/cat/cat.c	2051	2048	length	1974	6873	no	33780	no	200	capped
oxcoder-9b	sys/arch/rp2040/dev/usb.c	8760	707	stop	1811	899	no	13741	no	200	stop
ornith15-9b	sys/arch/rp2040/dev/flash_swap.c	1223	790	stop	2194	1290	no	13068	yes	200	stop
ornith15-9b	bin/cat/cat.c	2051	798	stop	1536	1568	no	13442	yes	200	stop
ornith15-9b	sys/arch/rp2040/dev/usb.c	8760	1019	stop	1705	1955	no	18955	yes	200	stop
qwen3-4b-instruct-2507	sys/arch/rp2040/dev/flash_swap.c	1120	212	stop	0	1138	no	2533	yes	200	stop
qwen3-4b-instruct-2507	bin/cat/cat.c	1827	298	stop	0	1402	no	3611	yes	200	stop
qwen3-4b-instruct-2507	sys/arch/rp2040/dev/usb.c	8244	287	stop	0	1357	no	4802	yes	200	stop
qwable-9b-fable5	sys/arch/rp2040/dev/flash_swap.c	1223	679	stop	2315	771	no	11364	yes	200	stop
qwable-9b-fable5	bin/cat/cat.c	2051	672	stop	2109	696	no	11883	yes	200	stop
qwable-9b-fable5	sys/arch/rp2040/dev/usb.c	8760	766	stop	1997	906	no	14933	yes	200	stop
klear-agentforge-8b	sys/arch/rp2040/dev/flash_swap.c	1120	498	stop	0	2526	no	7953	no	200	stop
klear-agentforge-8b	bin/cat/cat.c	1827	622	stop	0	2957	no	10226	no	200	stop
klear-agentforge-8b	sys/arch/rp2040/dev/usb.c	8244	609	stop	0	2858	no	12448	no	200	stop
hammer21-3b	sys/arch/rp2040/dev/flash_swap.c	1120	74	stop	0	382	no	1238	no	200	stop
hammer21-3b	bin/cat/cat.c	1827	144	stop	0	699	no	2379	no	200	stop
hammer21-3b	sys/arch/rp2040/dev/usb.c	8244	158	stop	0	710	no	3300	no	200	stop
granite40-micro	sys/arch/rp2040/dev/flash_swap.c	1114	309	stop	0	1643	no	5364	yes	200	stop
granite40-micro	bin/cat/cat.c	1819	106	stop	0	546	no	2003	yes	200	stop
granite40-micro	sys/arch/rp2040/dev/usb.c	7987	622	stop	0	2782	no	12067	yes	200	stop
swe-dev-7b	sys/arch/rp2040/dev/flash_swap.c	1120	225	stop	0	1091	no	3400	no	200	stop
swe-dev-7b	bin/cat/cat.c	1827	122	stop	0	664	no	2058	no	200	stop
swe-dev-7b	sys/arch/rp2040/dev/usb.c	8244	176	stop	0	914	no	4258	no	200	stop
swe-agent-lm-7b	sys/arch/rp2040/dev/flash_swap.c	1120	469	stop	0	2245	no	6852	no	200	stop
swe-agent-lm-7b	bin/cat/cat.c	1827	524	stop	0	2517	no	7834	no	200	stop
swe-agent-lm-7b	sys/arch/rp2040/dev/usb.c	8244	1884	stop	0	8767	no	30769	no	200	stop
roster_done
